step,reached_including_bc,reached_excluding_bc,newly_reached_including_bc,newly_reached_excluding_bc,fraction_excluding_bc
1,12,10,10,10,0.0006165228113440197
2,31,29,19,19,0.0017879161528976573
3,57,55,26,26,0.0033908754623921083
4,83,81,26,26,0.00499383477188656
5,113,111,30,30,0.006843403205918619
6,143,141,30,30,0.008692971639950678
7,178,176,35,35,0.010850801479654747
8,214,212,36,36,0.013070283600493218
9,264,262,50,50,0.016152897657213318
10,319,317,55,55,0.019543773119605427
