epoch,horizon_steps,mse_h,mse_u,mse_v,csi
600,6,0.09658607095479965,0.025526614859700203,0.005708991549909115,0.8211435214321647
600,12,0.5989333987236023,0.126742884516716,0.0284831915050745,0.5590273909122934
600,24,0.543024480342865,0.0901416540145874,0.02343081682920456,0.527763018087651
650,6,0.04469461739063263,0.013880426064133644,0.0038699288852512836,0.840908015168512
650,12,0.3275962471961975,0.07495516538619995,0.021370381116867065,0.625113865992523
650,24,0.5697159767150879,0.089431531727314,0.029152972623705864,0.5637335233760614
700,6,0.0401429645717144,0.012075661681592464,0.004242361523211002,0.8244029139047242
700,12,0.26235195994377136,0.06246209144592285,0.021713338792324066,0.6259315803696064
700,24,0.5301188826560974,0.08819754421710968,0.032902322709560394,0.5401419198503739
750,6,0.03876633942127228,0.011732780374586582,0.0037161170039325953,0.8376098280025799
750,12,0.2527238726615906,0.05910642072558403,0.01909533329308033,0.6557369337505015
750,24,0.5184459686279297,0.08239510655403137,0.02730035036802292,0.5528745420236578
800,6,0.03620758652687073,0.00998281966894865,0.003269998822361231,0.8510917302842029
800,12,0.2313285917043686,0.05236933007836342,0.018060922622680664,0.662492346285232
800,24,0.5025032758712769,0.08081474900245667,0.02592281810939312,0.5799230314427445
850,6,0.03675679862499237,0.010395628400146961,0.0032036772463470697,0.8507021064252815
850,12,0.2360089123249054,0.053799740970134735,0.017146429046988487,0.6632913442373405
850,24,0.5587660074234009,0.10249561071395874,0.028122395277023315,0.573227920489537
900,6,0.0419202521443367,0.012107647955417633,0.004490477964282036,0.8383858734584055
900,12,0.26065564155578613,0.05728583782911301,0.020110255107283592,0.6547997506115619
900,24,0.4698600769042969,0.08550196141004562,0.0237557515501976,0.5703931684360467
950,6,0.038257353007793427,0.011840869672596455,0.003491585608571768,0.8577224157741998
950,12,0.22046026587486267,0.053971096873283386,0.01765165477991104,0.6769435805396349
950,24,0.5182762145996094,0.09380229562520981,0.027015360072255135,0.5677767948489907
1000,6,0.04326546937227249,0.013853377662599087,0.0037075933068990707,0.8506765585988487
1000,12,0.27111583948135376,0.06500685960054398,0.01838122121989727,0.6857409063685925
1000,24,0.48223480582237244,0.07932118326425552,0.024927591904997826,0.5761712945802439
