epoch,horizon_steps,mse_h,mse_u,mse_v,csi
0,12,0.5129270553588867,0.12526501715183258,0.03304481878876686,0.39114843588252174
0,24,0.2230457067489624,0.05518454313278198,0.018729407340288162,0.3912791999205617
100,12,0.4970781207084656,0.10906770825386047,0.027574311941862106,0.5626970834554281
100,24,0.390133261680603,0.06890081614255905,0.018203532323241234,0.49881999729496157
200,12,0.5663548707962036,0.12100867927074432,0.02796904928982258,0.5433338751370649
200,24,0.46388518810272217,0.08550083637237549,0.02007506787776947,0.5127675882078557
300,12,0.61780846118927,0.13054874539375305,0.028844576328992844,0.5622060468406762
300,24,0.5150317549705505,0.09211494028568268,0.022258121520280838,0.5160083585851745
400,12,0.5111711621284485,0.1118207648396492,0.02632824145257473,0.5694862658962692
400,24,0.43906787037849426,0.07751408219337463,0.018734129145741463,0.5210881419686755
500,12,0.5336489081382751,0.11446979641914368,0.02657272294163704,0.560235733776683
500,24,0.44944635033607483,0.0786534994840622,0.02009742334485054,0.5279610734374556
600,12,0.5443898439407349,0.11508111655712128,0.026227371767163277,0.5498917143656984
600,24,0.45188844203948975,0.07935473322868347,0.019808653742074966,0.5297068282770752
700,12,0.3436405062675476,0.07507817447185516,0.021448547020554543,0.6173322393967895
700,24,0.370266854763031,0.06662403047084808,0.019700707867741585,0.5529405918602606
800,12,0.44822677969932556,0.08709698915481567,0.022601962089538574,0.5975022339117921
800,24,0.40214112401008606,0.07069819420576096,0.021871404722332954,0.5612962863501403
900,12,0.21113723516464233,0.045611824840307236,0.014906846918165684,0.6861286708483261
900,24,0.2886512279510498,0.05665235221385956,0.01905747316777706,0.57593882584601
1000,12,0.20222634077072144,0.04626462981104851,0.014987912029027939,0.6879840735423892
1000,24,0.3372087776660919,0.06959493458271027,0.021800702437758446,0.591847295923847
1100,12,0.1967950165271759,0.04607640206813812,0.01546754501760006,0.696408647673463
1100,24,0.28601309657096863,0.05593416467308998,0.017894716933369637,0.6189844981424124
1200,12,0.17030203342437744,0.03905678167939186,0.013515901751816273,0.7169680817154394
1200,24,0.2891804575920105,0.05660587176680565,0.019187910482287407,0.617891922072072
1300,12,0.14765800535678864,0.03250821679830551,0.01339850202202797,0.6520946504418017
1300,24,0.2869073152542114,0.055798910558223724,0.01892435923218727,0.5387546287030124
1400,12,0.18262116611003876,0.03995750844478607,0.014024041593074799,0.6091881568655902
1400,24,0.24318236112594604,0.04219336807727814,0.014959651976823807,0.43170623023611915
