exp,epoch,horizon_steps,event,group,peak,mse_h,mse_u,mse_v,mse_mean,csi_all,csi_int,bias_mean,wet_frac_pred,wet_frac_gt,wet_frac_delta,false_pos_rate,false_neg_rate
E2_Baseline,600,6,Group_1_peak_2600_Group_1_peak_2600_0_0-80_interpolated.pkl,1,2600,0.09189036541810504,0.020556837779616415,0.010410751401092074,0.04095265153293784,0.7531461761858664,0.750733137829912,-0.10755581944530332,0.2426566075072661,0.311112485313215,-0.06845587780594892,0.005194483952754932,0.07365036175870385
E2_Baseline,600,12,Group_1_peak_2600_Group_1_peak_2600_0_0-80_interpolated.pkl,1,2600,0.5278613485929602,0.10145433586044415,0.03772260486939997,0.22234609644093475,0.5094739631641712,0.506202480992397,-0.32312400477707004,0.2404922391936182,0.45779481788386617,-0.21730257869024797,0.005812874899511471,0.22311545358975945
E2_Baseline,600,24,Group_1_peak_2600_Group_1_peak_2600_0_0-80_interpolated.pkl,1,2600,0.8211532515642338,0.1399567813000863,0.04369535506131719,0.3349351293085458,0.4082887396106114,0.4049009504179549,-0.44490713386424774,0.23455568610475544,0.5241481664708428,-0.2895924803660874,0.015892647331643063,0.3054851276977305
E2_Baseline,600,6,Group_2_peak_1000_Group_2_peak_1000_0_0-80_interpolated.pkl,2,1000,0.04213606898256419,0.015309080420903133,0.003915987801366634,0.02045371240161132,0.8321623731459797,0.8288216560509554,-0.0030650636067778786,0.1487848617896234,0.13530393915033084,0.01348092263929257,0.02003586667491188,0.006554944035619318
E2_Baseline,600,12,Group_2_peak_1000_Group_2_peak_1000_0_0-80_interpolated.pkl,2,1000,0.17761188328831987,0.04842577908280422,0.008337110938691958,0.07812492443660535,0.7342525853964275,0.7300222858962114,-0.10148414431118978,0.1664090037721848,0.16962463669531877,-0.003215632923133982,0.024611959680910272,0.027827592604044278
E2_Baseline,600,24,Group_2_peak_1000_Group_2_peak_1000_0_0-80_interpolated.pkl,2,1000,0.11888427884874707,0.030726622218283813,0.007834047325265023,0.05248164946409863,0.6587731811697575,0.65383502170767,-0.04967456270580824,0.17815843176055904,0.17519015521612763,0.0029682765444314085,0.038463916888256754,0.035495640343825366
E2_Baseline,600,6,Group_2_peak_1200_Group_2_peak_1200_0_0-80_interpolated.pkl,2,1200,0.04941912230015565,0.018067689260003777,0.0032892091958270885,0.023592006918662173,0.8735035913806863,0.870928338762215,-0.02256098442886765,0.14470348154103024,0.13944715849359965,0.005256323047430594,0.012429658029806443,0.007173334982375858
E2_Baseline,600,12,Group_2_peak_1200_Group_2_peak_1200_0_0-80_interpolated.pkl,2,1200,0.2408116316768894,0.06572981401607385,0.013047969057621402,0.10652980491686155,0.6280775275013096,0.6231422505307855,-0.15124891419245873,0.15305175932224352,0.22515614371405604,-0.07210438439181252,0.007853565023808051,0.07995794941562055
E2_Baseline,600,24,Group_2_peak_1200_Group_2_peak_1200_0_0-80_interpolated.pkl,2,1200,0.1761330280155807,0.03778262415262645,0.007727923867676323,0.07388119201196115,0.58201189296333,0.5767686904164576,-0.11704135682703605,0.15892647331643064,0.2297322367200544,-0.07080576340362377,0.01675839465710222,0.087564158060726
E2_Baseline,600,6,Group_2_peak_1600_Group_2_peak_1600_0_0-80_interpolated.pkl,2,1600,0.07120058372214431,0.022605597818548883,0.0037551372416612327,0.03252043959411815,0.8604246432300731,0.8579525327665604,-0.07303082340687032,0.16177107167151072,0.16257497990229422,-0.0008039082307834955,0.011996784367076865,0.012800692597860368
E2_Baseline,600,12,Group_2_peak_1600_Group_2_peak_1600_0_0-80_interpolated.pkl,2,1600,0.4021561069650783,0.09792398897908704,0.023784202412955785,0.17462143278570705,0.562254516889238,0.5579135263784213,-0.23608309362632182,0.18162142106239565,0.3041246676148661,-0.12250324655247047,0.00766804773978109,0.13017129429225155
E2_Baseline,600,24,Group_2_peak_1600_Group_2_peak_1600_0_0-80_interpolated.pkl,2,1600,0.33713638066745777,0.06239040987571855,0.013489023499505879,0.1376719380142274,0.492809540512101,0.4883227176220807,-0.21423580647841817,0.18953682518087936,0.33065363923072166,-0.1411168140498423,0.018860923876074454,0.15997773792591677
E2_Baseline,600,6,Group_4_peak_2000_Group_4_peak_2000_0_0-80_interpolated.pkl,4,2000,0.039339043211957525,0.01972594394620346,0.003605269398087859,0.020890085518749615,0.8471428571428572,0.8434146341463414,-0.04027758687909684,0.1103827839960423,0.12330715478325398,-0.012924370787211675,0.0034629893018366213,0.016387360089048297
E2_Baseline,600,12,Group_4_peak_2000_Group_4_peak_2000_0_0-80_interpolated.pkl,4,2000,1.0242122724926026,0.2480997003972229,0.0495315305314542,0.44061450114042655,0.4513419381274329,0.44566342372179674,-0.35923398995501205,0.14272463051140932,0.2891596067033579,-0.14643497619194856,0.009585059674726362,0.1560200358666749
