,run_name,method,mesh,epoch,n_events,horizon_step,horizon_hours,csi_mean,csi_std,l1_h_mean,l1_h_std,l1_u_mean,l1_u_std,l1_v_mean,l1_v_std,mse_h_mean,mse_h_std,mse_u_mean,mse_u_std,mse_v_mean,mse_v_std
0,Experiment 5@900,Experiment 5,multimesh,900,16,1,0.5,0.9921280984870278,0.004703795209222466,0.0031292745552491397,0.000667295565091631,0.002243573821033351,0.00044649480734691987,0.0007941390322230291,0.00016766884062511568,0.00016472981724291458,0.00020662726585749292,0.0001488747407165647,0.00014201068416705616,3.487431717985601e-05,2.9114351778018864e-05
1,Experiment 5@900,Experiment 5,multimesh,900,16,2,1.0,0.9797474216015705,0.00951612475187545,0.005820541933644563,0.0008617562934561665,0.004202932599582709,0.0005091276155945172,0.0015555183126707561,0.00023864271524689492,0.0004386866376080434,0.0002604176070965776,0.00040359547529078554,0.0001447285042475329,0.00010719251167756738,3.906547587842632e-05
2,Experiment 5@900,Experiment 5,multimesh,900,16,3,1.5,0.9584854391588722,0.01393078275956702,0.009626334183849394,0.0010943967110494683,0.0068917066673748195,0.0006397584518397103,0.002552897291025147,0.00030585757507595656,0.0013322160739335231,0.0005709341901246241,0.0010227143502561375,0.0002652978109586349,0.0002676030890143011,5.446098099524853e-05
3,Experiment 5@900,Experiment 5,multimesh,900,16,4,2.0,0.9392733414115194,0.02131430264163755,0.014503344020340592,0.0013605211839966033,0.010083722590934485,0.0007491459769749132,0.0036090281937504187,0.0004008669461196445,0.0030948721832828596,0.0010943250676776499,0.00214261632936541,0.0005117468140005753,0.0004609659099514829,6.155855805784784e-05
4,Experiment 5@900,Experiment 5,multimesh,900,16,5,2.5,0.9183195656435994,0.02724068097493565,0.020010362844914198,0.0014584112927291887,0.013373929541558027,0.0006807852443336253,0.0047071602020878345,0.0005230368997591968,0.00589830098033417,0.0015852712883199832,0.0036885747977066785,0.0008533065324906817,0.0007130946760298684,6.455913901983589e-05
5,Experiment 5@900,Experiment 5,multimesh,900,16,6,3.0,0.9017002834351336,0.029731337411101785,0.02551997872069478,0.0018595206581393617,0.016570199164561927,0.0007307836849018017,0.0058551772381179035,0.0007161456018556432,0.00932285247836262,0.002100583076492638,0.005453534016851336,0.0012913916446316508,0.0010065620917885099,6.93595063712698e-05
6,Experiment 5@900,Experiment 5,multimesh,900,16,7,3.5,0.8899581085711885,0.03084390026022547,0.030749207129701972,0.0025429791935876475,0.01969781273510307,0.0009765094235656213,0.007029801374301314,0.001032694100013947,0.013030736241489649,0.0025969230991092357,0.007366781675955281,0.0017867646822010916,0.001323407494055573,0.00011466767511611807
7,Experiment 5@900,Experiment 5,multimesh,900,16,8,4.0,0.8787636628959554,0.02989939178609443,0.03550943883601576,0.003354587824426452,0.02257702127099037,0.0012901906991202427,0.00809714652132243,0.0013034980757934723,0.016828617895953357,0.0033895300183251708,0.009283526305807754,0.0024567435911160072,0.0016431075346190482,0.00017849325746767007
8,Experiment 5@900,Experiment 5,multimesh,900,16,9,4.5,0.8701825300526027,0.028967694725321933,0.03982456726953387,0.0037294261336650552,0.02522685960866511,0.0012892633848174413,0.00905871414579451,0.0014462215990953668,0.020651048514992,0.004029320694246661,0.011230575590161607,0.003160001307967192,0.0019743121447390877,0.00022367018416540656
9,Experiment 5@900,Experiment 5,multimesh,900,16,10,5.0,0.8636893764937328,0.028439939754044193,0.04361497005447745,0.0036801918376270486,0.027612972306087613,0.0011319357012624157,0.00993997958721593,0.0015595831390426283,0.024108409183099866,0.0045749493183431765,0.013022263650782406,0.003830544919710945,0.002317961014341563,0.0002938506874906577
10,Experiment 5@900,Experiment 5,multimesh,900,16,11,5.5,0.859946282991101,0.027460799037523107,0.046944230794906616,0.0036184523415672925,0.029760461417026818,0.001194549071701897,0.010724877123720944,0.0016439568295599143,0.02717507118359208,0.00548965090447382,0.014664648449979722,0.004498093747274227,0.002645764107001014,0.0003846127576528798
11,Experiment 5@900,Experiment 5,multimesh,900,16,12,6.0,0.8570718251673403,0.027496307101917153,0.04997525969520211,0.003656906143799775,0.03170822735410184,0.0013433372143386046,0.01143805735046044,0.0016830772147543962,0.030057648080401123,0.006672516145145362,0.016129460302181542,0.005264533473530543,0.00296358359628357,0.0004960871233669773
12,Experiment 5@900,Experiment 5,multimesh,900,16,13,6.5,0.8548098159313651,0.025943555077227103,0.05294508929364383,0.003661712244944529,0.033651650534011424,0.0014574411589394634,0.01214063458610326,0.0016857232389759361,0.033086656127125025,0.008008867257182662,0.01768174022436142,0.00609470629708133,0.003287681669462472,0.0006143124770142282
13,Experiment 5@900,Experiment 5,multimesh,900,16,14,7.0,0.8521953830776042,0.02527250260580791,0.055768180871382356,0.0034088740031392216,0.03552996076177806,0.0015016254053221423,0.012803444231394678,0.001646734535111132,0.03597655112389475,0.00941144404868489,0.01918902201578021,0.006960114897630208,0.0035915216722059995,0.0007328687965092933
14,Experiment 5@900,Experiment 5,multimesh,900,16,15,7.5,0.850975256184128,0.022712578294453573,0.05835387157276273,0.002866517894131914,0.037178303580731153,0.0014123879374276465,0.013415508496109396,0.001551832271919095,0.03842828993219882,0.011129510642139953,0.02027845336124301,0.00792506655146048,0.0038524228875758126,0.0008776021957316186
15,Experiment 5@900,Experiment 5,multimesh,900,16,16,8.0,0.850754969953677,0.020790592885403403,0.06064811418764293,0.002150266955842495,0.03879569936543703,0.0013383351643417142,0.01403320545796305,0.0014757917926389351,0.040385093656368554,0.012896964597841934,0.02126800053520128,0.008814073818954313,0.004110478141228668,0.0010238639112889216
16,Experiment 5@900,Experiment 5,multimesh,900,16,17,8.5,0.85112237191677,0.018521055234268658,0.06271714973263443,0.0015795118094068328,0.0402944041416049,0.0013512874835425986,0.014642306428868324,0.001431419006959079,0.041803002124652267,0.014632305689034817,0.021979299723170698,0.009599036399508846,0.0043454958067741245,0.001170856459268715
17,Experiment 5@900,Experiment 5,multimesh,900,16,18,9.0,0.8513665744867595,0.018722151231345182,0.06478505162522197,0.0012879973627102801,0.04181698686443269,0.0013119627307319785,0.015257880906574428,0.0014188561810079062,0.042944611981511116,0.015933263050256777,0.02260816452326253,0.010213736491992167,0.0045838833175366744,0.001304027232441903
18,Experiment 5@900,Experiment 5,multimesh,900,16,19,9.5,0.8523531034514107,0.01865266850667141,0.0671703452244401,0.001303655212304341,0.04354769713245332,0.0013294115585384216,0.01593431644141674,0.001439703184684484,0.044575739884749055,0.016956292652099497,0.023548439028672874,0.010797796057855089,0.0048768180422484875,0.0014438237863210845
19,Experiment 5@900,Experiment 5,multimesh,900,16,20,10.0,0.853137412485744,0.020007903537780442,0.06980880070477724,0.0014226404764328187,0.04531438183039427,0.0014297739623910608,0.01661406143102795,0.0014798017161730885,0.04660280328243971,0.017685245238799243,0.024590433051344007,0.011343302556677284,0.005182101594982669,0.0015745279079764165
20,Experiment 5@900,Experiment 5,multimesh,900,16,21,10.5,0.8539826304279738,0.020180111598710644,0.07259925082325935,0.0015569901608363844,0.047080783639103174,0.0015863578389039943,0.017307145928498358,0.0015650445761971048,0.04876412509474903,0.018379284209491194,0.02561195642920211,0.011917456905699396,0.00549222927656956,0.0016969699864256413
21,Experiment 5@900,Experiment 5,multimesh,900,16,22,11.0,0.8556424689766967,0.021267915132204145,0.07530098874121904,0.0019926487249935228,0.048894291976466775,0.001770078766702288,0.01802497770404443,0.001662190206772771,0.05084851093124598,0.01926244455845801,0.026685654593165964,0.012465378835382271,0.005823151281219907,0.0018342237944001787
22,Experiment 5@900,Experiment 5,multimesh,900,16,23,11.5,0.8584857961492149,0.022202730152996872,0.07770114531740546,0.0026472278735797,0.050570865627378225,0.002043114551116224,0.018706309027038515,0.001762982307490415,0.052521327626891434,0.020185518844847688,0.02757270645815879,0.01293605501464177,0.006117431941675022,0.00196829895454111
23,Experiment 5@900,Experiment 5,multimesh,900,16,24,12.0,0.8600287825054883,0.023609227936098036,0.07998360553756356,0.002969708647356632,0.052194701274856925,0.0021749535968350526,0.019366128952242434,0.00182695889209252,0.05388487805612385,0.020870934794842387,0.028386656485963613,0.013321461532927778,0.006404038838809356,0.0020671828607361892
24,Experiment 5@900,Experiment 5,multimesh,900,16,25,12.5,0.8615776772852877,0.02556438853159583,0.08222162071615458,0.002954271355102099,0.053809014381840825,0.0021651605217813067,0.019987448235042393,0.0018768845761278346,0.05524197220802307,0.021507088968146577,0.029192205402068794,0.013746816467417478,0.006669706112006679,0.0021737082252731798
25,Experiment 5@900,Experiment 5,multimesh,900,16,26,13.0,0.8624855098195202,0.02477641187020526,0.08454325050115585,0.0027101786308538793,0.05546693759970367,0.002122436908679079,0.020626175915822387,0.001890402108992609,0.05681110778823495,0.02211763414329933,0.030071899003814906,0.0141894875577162,0.006941917759831995,0.002281491137576391
26,Experiment 5@900,Experiment 5,multimesh,900,16,27,13.5,0.8618114337544523,0.026799093809182137,0.0870207748375833,0.0024308519243572205,0.05720357899554074,0.002027990697515358,0.021270972676575184,0.001882693975992523,0.05852878000587225,0.022713425229962288,0.031078897649422288,0.014623209026151626,0.007205060072010383,0.002381808546938175
27,Experiment 5@900,Experiment 5,multimesh,900,16,28,14.0,0.8617735509397417,0.027426305301394137,0.08969539683312178,0.0020755434869259896,0.05903820204548538,0.0018146719903244883,0.021942176506854594,0.001891097796100596,0.060475015081465244,0.023062985322938524,0.03221203270368278,0.014949343543275196,0.0075049419538117945,0.002488049685071667
28,Experiment 5@900,Experiment 5,multimesh,900,16,29,14.5,0.8614982843397451,0.026315723959459955,0.09254283597692847,0.0020204315055904554,0.06091751134954393,0.0017696452891721962,0.02263623906765133,0.0019730290658708438,0.06257445830851793,0.023276721068712484,0.03328316821716726,0.015295925398736518,0.007800441497238353,0.0025773164852121665
29,Experiment 5@900,Experiment 5,multimesh,900,16,30,15.0,0.8619533147967129,0.026709632558708014,0.0957018006592989,0.002342815097026928,0.06297086109407246,0.0019079717219633696,0.023374042939394712,0.0021000086943163284,0.06533471727743745,0.0231928676800732,0.03463348851073533,0.01558087331445216,0.008129027293762192,0.00266308603921073
30,Experiment 5@900,Experiment 5,multimesh,900,16,31,15.5,0.8606206672128665,0.027028488792545782,0.09891105443239212,0.003032247700820542,0.06501843105070293,0.0021344087732774655,0.02417128114029765,0.0022978201138792215,0.06798504502512515,0.022949304406193114,0.0358675685711205,0.015746799096260217,0.008454033551970497,0.0027119667941965238
31,Experiment 5@900,Experiment 5,multimesh,900,16,32,16.0,0.8581497698948669,0.02550646655151624,0.10251921135932207,0.004176007978627474,0.0672285663895309,0.0024424006632764107,0.02509875246323645,0.002585461755584167,0.07126088347285986,0.022413798749627192,0.03730369312688708,0.015683664946780078,0.00882942765019834,0.0027161253680445855
32,Experiment 5@900,Experiment 5,multimesh,900,16,33,16.5,0.8524328413531419,0.026859692499985665,0.10638299351558089,0.00578354569154965,0.06947612250223756,0.002937739369468178,0.02609804703388363,0.0029517298269064888,0.07495590136386454,0.02222908381135884,0.03868585987947881,0.015808937133358097,0.009194938204018399,0.002682610518097043
33,Experiment 5@900,Experiment 5,multimesh,900,16,34,17.0,0.8396777395318439,0.0361875959834047,0.11103570507839322,0.008161031696021519,0.07225925009697676,0.004001640315232555,0.027466568863019347,0.0038342843645418315,0.07946655317209661,0.02253412244855724,0.04040500917471945,0.01606536447437704,0.009694418724393472,0.0026793108475695886
34,Experiment 5@900,Experiment 5,multimesh,900,16,35,17.5,0.8264358325331759,0.04438395276323982,0.11611070251092315,0.010882321913592513,0.07508951099589467,0.00537929251938739,0.028954546432942152,0.004916177773653915,0.08350399532355368,0.02078778116314401,0.041628853883594275,0.014852703802174435,0.010163094964809716,0.002527068546555843
35,Experiment 5@900,Experiment 5,multimesh,900,16,36,18.0,0.8169670162345505,0.048359072069499534,0.12096270686015487,0.01342150614383713,0.07749911863356829,0.006389633688087287,0.030370469787158072,0.005769086634248099,0.08668306679464877,0.018137873086562263,0.04214399913325906,0.012984387671704366,0.010585437383269891,0.002367923979697991
36,Experiment 5@900,Experiment 5,multimesh,900,16,37,18.5,0.8106560949116471,0.04943283241707704,0.12569710984826088,0.015604789840168479,0.07978177489712834,0.007134913032478513,0.03186654613818973,0.006535206077293696,0.08956684079021215,0.01617006623694808,0.04240026872139424,0.010650595717328872,0.011013118986738846,0.0022086867559679675
